policy_year,count,revenue,industry,state,employees,average_employee_age,multinational,risk_score
2021,0,2011430,Manufacturing,TX,346,24,0,NA
2015,1,6561466,Financial Services,PA,571,40,1,NA
2013,0,235448,General Commercial,CA,10,18,0,3
2018,2,4601661,Manufacturing,OH,183,19,1,NA
2014,0,1842181,Financial Services,PA,193,26,0,4
2017,0,1347610,General Commercial,NC,302,18,0,NA
2023,0,291850,General Commercial,TX,23,39,0,4
2018,0,570292,Manufacturing,AZ,75,16,0,NA
2015,0,1316073,Manufacturing,AZ,26,50,0,NA
2017,1,1286247,General Commercial,CA,177,30,0,2
2014,0,232634,General Commercial,VA,52,16,0,NA
2016,0,1062618,Financial Services,TX,91,16,0,NA
2014,0,1401457,General Commercial,GA,135,33,0,4
2018,0,2389939,Manufacturing,MI,98,25,0,NA
2021,2,4111980,Manufacturing,GA,197,29,1,4
2016,0,3091331,Manufacturing,TX,306,19,1,NA
2022,0,1081732,General Commercial,IL,53,35,0,NA
2021,0,2524470,General Commercial,AZ,192,22,1,NA
2020,0,3002233,Manufacturing,PA,293,27,1,NA
2014,0,706149,General Commercial,OH,53,23,0,NA
2016,0,819447,Oil/Gas,CA,157,52,0,3
2023,0,207448,General Commercial,TX,18,37,0,2
2016,0,437702,Manufacturing,CA,33,16,0,3
2014,0,1868926,Manufacturing,TX,269,18,0,NA
2015,0,838380,General Commercial,FL,196,29,0,NA
2022,0,366924,Manufacturing,NY,64,27,0,1
2023,0,987647,Manufacturing,FL,60,31,0,4
2017,0,1142617,General Commercial,VA,77,36,0,3
2018,1,1068344,Manufacturing,NY,54,22,0,NA
2016,0,3559661,Manufacturing,NY,184,18,1,NA
2017,0,708463,General Commercial,MA,53,16,0,NA
2017,0,1024334,General Commercial,NY,206,55,0,5
2022,0,3126763,Manufacturing,AZ,545,21,1,2
2014,0,1655874,Manufacturing,MI,66,21,0,4
2022,0,1985500,General Commercial,TX,159,16,0,2
2017,0,2367331,Manufacturing,NY,269,24,0,2
2022,0,942444,General Commercial,NY,233,34,0,2
2021,2,2849431,Manufacturing,MI,158,19,1,NA
2014,1,1792704,Financial Services,PA,338,28,0,2
2019,0,1150370,General Commercial,FL,101,28,0,NA
2023,0,529942,Financial Services,NC,20,41,0,2
2020,0,1316139,Oil/Gas,NJ,121,23,0,3
2020,0,511141,General Commercial,NY,75,33,0,2
2019,0,956176,General Commercial,AZ,57,51,0,NA
2019,0,948490,General Commercial,CA,108,19,0,5
2016,0,4827923,Manufacturing,TX,559,45,1,NA
2021,0,826644,Oil/Gas,TX,64,32,0,NA
2017,0,349753,Financial Services,CA,34,22,0,3
2019,0,665352,Financial Services,PA,125,16,0,3
2019,0,1280594,General Commercial,OH,133,76,0,2
2014,0,614313,General Commercial,CA,51,22,0,1
2021,0,352387,General Commercial,CA,38,16,0,NA
2018,1,723458,Oil/Gas,CA,56,16,0,NA
2020,0,1071992,General Commercial,NJ,79,22,0,NA
2015,0,1174187,Financial Services,VA,342,28,0,NA
2019,0,2563560,General Commercial,GA,232,29,1,NA
2022,0,405279,Manufacturing,VA,45,58,0,3
2016,0,2772675,General Commercial,AZ,793,36,1,4
2015,0,2799915,Manufacturing,NJ,453,16,1,NA
2023,0,282749,General Commercial,MI,39,35,0,4
2022,0,380446,Manufacturing,WA,25,24,0,2
2022,0,1993535,Manufacturing,NJ,200,31,0,NA
2020,0,1038059,Financial Services,TX,615,16,0,1
2019,0,1062014,Manufacturing,PA,157,25,0,NA
2021,0,330573,Manufacturing,TX,71,27,0,NA
2018,0,443028,General Commercial,IL,69,22,0,5
2014,0,907552,General Commercial,WA,113,20,0,3
2021,0,2977213,General Commercial,NJ,818,16,1,NA
2023,0,607700,Manufacturing,CA,328,24,0,NA
2019,0,1117801,Financial Services,FL,66,25,0,4
2016,0,1197445,Oil/Gas,CA,278,29,0,NA
2015,0,242440,General Commercial,NC,241,16,0,NA
2013,0,696681,Manufacturing,PA,228,16,0,4
2021,0,643703,Manufacturing,NY,26,23,0,1
2021,2,4304177,Manufacturing,VA,189,16,1,NA
2020,0,879810,General Commercial,IL,26,16,0,2
2021,0,285834,General Commercial,TX,27,29,0,NA
2017,0,784958,Financial Services,AZ,68,28,0,1
2022,0,676078,Manufacturing,GA,46,47,0,NA
2019,0,2378894,Manufacturing,TX,340,31,0,4
2015,1,2370936,General Commercial,TX,136,27,0,NA
2021,0,1037750,General Commercial,TX,32,27,0,4
2017,0,1864933,Manufacturing,MA,108,16,0,2
2015,0,2230505,Manufacturing,OH,160,60,0,3
2014,0,2507370,General Commercial,WA,524,45,1,2
2018,0,1042765,General Commercial,CA,82,47,0,NA
2023,0,640055,Financial Services,NJ,257,56,0,4
2021,0,1309974,Oil/Gas,VA,203,55,0,3
2014,0,556964,General Commercial,TX,80,17,0,5
2020,0,437312,Manufacturing,OH,78,16,0,NA
2017,0,1041248,Financial Services,CA,142,24,0,4
2015,0,1721507,General Commercial,MI,115,16,0,NA
2023,0,359254,Manufacturing,AZ,34,18,0,3
2014,0,2936951,Manufacturing,CA,131,33,1,3
2014,0,933022,Manufacturing,CA,101,22,0,NA
2017,0,1272991,Financial Services,TX,221,26,0,4
2023,0,857897,General Commercial,NC,82,35,0,4
2019,0,372224,Manufacturing,CA,27,48,0,NA
2024,0,742840,General Commercial,FL,131,33,0,3
2017,0,875758,Manufacturing,FL,54,49,0,NA
2013,0,541698,General Commercial,FL,64,23,0,1
2020,0,1260021,General Commercial,FL,155,17,0,NA
2024,0,323033,General Commercial,GA,79,64,0,NA
2013,0,2256261,Manufacturing,FL,192,16,0,NA
2016,0,472112,Manufacturing,NC,57,30,0,2
2016,0,1358957,General Commercial,NY,208,16,0,NA
2016,0,327845,Manufacturing,OH,19,36,0,4
2020,0,4022910,General Commercial,IL,553,56,1,2
2019,0,465539,Manufacturing,IL,115,17,0,2
2020,0,487517,General Commercial,AZ,155,37,0,1
2016,0,1782939,Manufacturing,CA,157,30,0,NA
2019,0,2637623,Manufacturing,NY,325,21,1,4
2016,0,400840,Manufacturing,PA,13,27,0,4
2022,0,1117568,General Commercial,VA,154,52,0,4
2013,0,1936469,Financial Services,CA,269,34,0,3
2016,0,286229,General Commercial,TX,25,53,0,3
2019,0,2162068,Financial Services,NY,354,49,0,4
2018,0,1003910,Financial Services,MA,123,25,0,NA
2023,0,1578469,General Commercial,NY,210,16,0,NA
2020,0,1467686,General Commercial,PA,120,31,0,2
2019,0,417272,General Commercial,OH,48,23,0,4
2015,0,1769103,Manufacturing,CA,190,16,0,NA
2023,0,798212,Financial Services,PA,56,16,0,4
2023,1,2366169,Manufacturing,CA,369,34,0,5
2023,0,806729,Financial Services,NY,65,25,0,NA
2024,0,2425462,Manufacturing,TX,294,25,0,3
2020,1,967761,General Commercial,CA,22,54,0,1
2021,0,1304200,Financial Services,PA,83,47,0,NA
2017,0,1506681,General Commercial,NJ,73,78,0,2
2020,0,341598,General Commercial,VA,45,18,0,5
2022,0,370942,Manufacturing,CA,52,31,0,2
2013,0,451548,Manufacturing,CA,101,45,0,4
2016,0,2798608,General Commercial,OH,391,24,1,3
2015,1,6464443,Financial Services,NY,237,71,1,3
2017,0,541072,General Commercial,OH,35,16,0,3
2018,0,460917,Manufacturing,MA,64,18,0,NA
2015,0,561672,Financial Services,CA,76,35,0,3
2014,0,269018,General Commercial,TX,15,53,0,4
2018,0,1248929,Manufacturing,NC,80,16,0,4
2020,1,907737,Manufacturing,MI,70,50,0,2
2020,0,256070,Manufacturing,CA,66,16,0,5
2018,0,489831,General Commercial,TX,78,22,0,3
2021,0,3290126,General Commercial,CA,176,39,1,3
2022,0,1651448,General Commercial,NC,-56,28,0,NA
2021,0,798115,Manufacturing,OH,70,29,0,2
2023,0,440155,General Commercial,AZ,43,16,0,NA
2024,0,424714,General Commercial,NY,56,25,0,NA
2021,0,1288026,Manufacturing,IL,30,29,0,NA
2015,0,391070,General Commercial,IL,50,30,0,NA
2021,0,486072,Manufacturing,CA,19,58,0,3
2014,30,3621524,General Commercial,NJ,334,42,1,2
2013,0,1107076,General Commercial,FL,39,28,0,NA
2015,0,632032,General Commercial,CA,98,38,0,NA
2018,0,625184,Manufacturing,NJ,45,29,0,2
2014,0,1830071,General Commercial,IL,80,20,0,NA
2020,0,2138145,Manufacturing,CA,112,30,0,5
2018,0,1451700,Manufacturing,NY,290,46,0,NA
2022,0,181328,Manufacturing,FL,16,84,0,4
2021,0,5250404,General Commercial,FL,1087,23,1,NA
2015,0,1284297,General Commercial,MA,172,16,0,NA
2022,0,456342,General Commercial,NJ,42,16,0,NA
2020,0,425492,Manufacturing,TX,189,34,0,4
2021,0,742430,Manufacturing,MA,49,92,0,NA
2013,0,1311401,General Commercial,TX,256,27,0,2
2022,0,1776532,Financial Services,NY,262,17,0,3
2019,1,3533791,General Commercial,MA,344,16,1,4
2013,0,784797,Manufacturing,MA,84,17,0,NA
2022,0,3456492,General Commercial,TX,775,19,1,3
2014,0,464981,General Commercial,CA,24,20,0,NA
2021,0,1416740,General Commercial,TX,37,16,0,NA
2022,0,693454,General Commercial,CA,59,45,0,2
2022,0,626357,Manufacturing,TX,69,48,0,5
2017,0,1013147,General Commercial,FL,164,21,0,NA
2021,0,2942340,General Commercial,CA,319,32,1,4
2020,0,807593,General Commercial,NY,30,32,0,4
2015,0,416010,Financial Services,NC,49,55,0,3
2023,0,438199,General Commercial,OH,38,71,0,2
2021,0,484347,Oil/Gas,TX,32,49,0,1
2017,0,1443846,General Commercial,NC,210,22,0,1
2019,0,1408693,General Commercial,IL,120,35,0,NA
2020,0,2070979,Oil/Gas,PA,139,25,0,2
2014,1,485210,General Commercial,CA,69,32,0,4
2021,0,487193,Financial Services,AZ,39,20,0,NA
2020,0,1123416,General Commercial,NC,236,22,0,2
2021,0,440320,General Commercial,GA,91,16,0,NA
2018,1,3328244,General Commercial,GA,158,16,1,5
2019,0,926846,General Commercial,TX,167,18,0,3
2019,0,589896,Manufacturing,MA,111,46,0,NA
2016,0,511339,General Commercial,NY,35,21,0,NA
2015,0,397880,General Commercial,PA,71,31,0,3
2017,0,1082494,General Commercial,FL,93,34,0,3
2020,0,1202102,Manufacturing,NY,310,33,0,NA
2023,0,1822418,General Commercial,AZ,93,26,0,5
2023,0,501687,Manufacturing,FL,84,61,0,NA
2014,0,1375932,Financial Services,VA,96,55,0,NA
2020,0,526858,Manufacturing,NY,78,22,0,1
2023,0,2194817,General Commercial,OH,106,49,0,3
2020,0,1548129,General Commercial,NC,54,32,0,5
2016,0,1402473,General Commercial,CA,164,54,0,2
2017,0,1116569,Oil/Gas,TX,86,34,0,4
2021,0,1018519,Manufacturing,VA,69,16,0,NA
2019,0,2333053,Financial Services,NY,274,16,0,3
2021,0,2636553,Financial Services,CA,338,21,1,2
2014,1,1444330,Oil/Gas,CA,53,17,0,NA
2014,0,488542,Manufacturing,IL,13,19,0,2
2016,2,1188845,General Commercial,MI,101,22,0,5
2018,0,590003,General Commercial,PA,26,16,0,4
2022,0,249723,General Commercial,NC,32,52,0,3
2018,0,453162,Manufacturing,IL,15,31,0,4
2014,2,1898940,Oil/Gas,GA,172,17,0,3
2014,0,1419930,Manufacturing,WA,342,46,0,NA
2014,0,2421496,Financial Services,IL,196,50,0,NA
2015,0,1713526,Financial Services,VA,196,29,0,3
2016,3,1730368,General Commercial,MI,234,33,0,NA
2020,0,454670,General Commercial,TX,13,19,0,1
2023,0,2113743,Manufacturing,FL,341,36,0,NA
2024,0,1915455,General Commercial,FL,40,24,0,3
2023,0,1201131,Financial Services,CA,258,27,0,4
2018,0,617241,Manufacturing,NJ,84,72,0,4
2022,0,1317658,General Commercial,IL,288,37,0,1
2019,0,590244,Financial Services,TX,56,16,0,NA
2017,0,393949,Oil/Gas,VA,23,38,0,1
2017,1,2970640,General Commercial,CA,593,27,1,NA
2021,0,697512,General Commercial,CA,103,16,0,2
2019,0,239772,General Commercial,MA,9,19,0,2
2015,0,696328,Manufacturing,IL,32,28,0,2
2017,0,1019218,General Commercial,TX,189,16,0,NA
2022,0,924189,General Commercial,MI,83,26,0,NA
2018,0,315265,General Commercial,FL,15,16,0,NA
2018,0,908685,Financial Services,FL,71,21,0,NA
2015,0,757346,General Commercial,FL,20,31,0,NA
2019,0,987325,General Commercial,CA,52,40,0,NA
2019,0,812037,General Commercial,GA,46,16,0,3
2017,0,1871012,General Commercial,FL,249,56,0,4
2018,1,3961711,General Commercial,NY,701,31,1,2
2015,0,812261,Manufacturing,PA,85,16,0,NA
2022,0,303138,Oil/Gas,PA,39,28,0,NA
2015,0,3689899,Financial Services,TX,361,25,1,5
2020,0,4106948,General Commercial,PA,641,22,1,5
2023,0,1097570,Manufacturing,NY,110,16,0,2
2018,0,337504,General Commercial,CA,65,29,0,3
2022,0,779512,General Commercial,CA,57,19,0,1
2023,0,1181992,Manufacturing,MI,153,45,0,NA
2019,0,3143452,General Commercial,FL,221,61,1,3
2020,0,1811856,General Commercial,PA,135,43,0,4
2022,0,453207,Financial Services,WA,90,86,0,5
2019,0,1909272,Manufacturing,CA,166,45,0,3
2018,1,662825,General Commercial,CA,122,16,0,3
2022,0,1551510,Manufacturing,MA,143,34,0,3
2017,0,572260,Manufacturing,TX,33,42,0,1
2019,0,1219099,General Commercial,VA,152,34,0,5
2014,0,1960517,Manufacturing,VA,378,43,0,NA
2016,0,505532,Manufacturing,CA,25,21,0,NA
2017,0,1557642,General Commercial,VA,191,42,0,3
2018,0,954994,Financial Services,WA,53,21,0,4
2019,0,1085518,General Commercial,TX,104,70,0,3
2020,0,349356,Manufacturing,NJ,60,16,0,2
2023,0,745702,General Commercial,IL,39,21,0,2
2023,0,2025554,General Commercial,NJ,87,16,0,NA
2022,0,3832771,Manufacturing,IL,680,40,1,3
2016,0,6644115,Manufacturing,PA,523,31,1,NA
2024,0,2560469,General Commercial,CA,311,20,1,3
2021,0,1720929,Manufacturing,CA,133,24,0,4
2016,0,742005,General Commercial,TX,92,20,0,4
2013,0,1579312,General Commercial,NJ,204,34,0,2
2022,0,542402,General Commercial,NJ,67,38,0,3
2022,1,1712346,General Commercial,CA,94,21,0,3
2013,1,1680067,Financial Services,CA,138,20,0,3
2017,0,253955,General Commercial,OH,21,20,0,NA
2021,2,2385461,General Commercial,MA,197,23,0,2
2021,0,1135064,General Commercial,NJ,91,24,0,NA
2018,1,1170646,Manufacturing,TX,297,25,0,4
2022,0,10468265,Financial Services,NC,1856,16,1,1
2015,0,572552,General Commercial,TX,101,26,0,4
2022,0,260365,Financial Services,FL,28,51,0,NA
2021,0,853515,Manufacturing,CA,102,24,0,NA
2017,0,436866,Oil/Gas,FL,59,35,0,3
2020,0,2793537,General Commercial,FL,467,52,1,2
2019,0,4465577,General Commercial,NC,684,21,1,3
2021,0,255017,General Commercial,CA,25,24,0,1
2019,1,2669760,Financial Services,TX,157,55,1,3
2022,0,445534,Financial Services,PA,38,35,0,4
2022,1,2524783,Manufacturing,NY,543,63,1,5
2017,0,1034479,General Commercial,NY,217,23,0,2
2021,0,517532,Manufacturing,AZ,42,29,0,4
2022,0,6136778,Financial Services,NY,1256,23,1,4
2019,0,722803,Financial Services,VA,72,31,0,NA
2017,0,942363,Financial Services,VA,19,59,0,2
2020,0,652029,General Commercial,TX,43,32,0,NA
2022,0,183538,Manufacturing,CA,108,26,0,2
2014,0,2823352,General Commercial,NJ,190,47,1,2
2018,0,605221,Manufacturing,MI,67,34,0,NA
2018,1,2736404,General Commercial,GA,377,24,1,NA
2023,0,1867838,General Commercial,GA,254,24,0,4
2017,0,479776,Financial Services,NJ,96,16,0,3
2024,0,1977213,General Commercial,VA,237,21,0,3
2016,0,504427,Manufacturing,TX,35,23,0,4
2024,0,1518348,General Commercial,IL,188,22,0,3
2013,0,564760,General Commercial,FL,21,87,0,5
2021,0,334766,General Commercial,CA,72,35,0,3
2022,3,2087675,General Commercial,MI,292,19,0,4
2018,1,6804677,Oil/Gas,FL,623,26,1,NA
2021,0,1894315,General Commercial,NC,493,27,0,3
2023,0,927673,General Commercial,OH,19,18,0,NA
2023,0,1160940,Manufacturing,TX,220,26,0,NA
2020,0,1343997,Manufacturing,WA,324,35,0,4
2022,0,3165993,General Commercial,MI,121,32,1,2
2021,0,1006646,General Commercial,GA,48,26,0,2
2021,0,1367212,Financial Services,TX,192,23,0,NA
2014,0,1003878,General Commercial,NY,175,29,0,NA
2018,0,700209,Financial Services,FL,24,18,0,NA
2021,0,292332,Manufacturing,PA,21,55,0,NA
2023,0,443122,General Commercial,TX,74,61,0,NA
2017,0,2164570,Manufacturing,CA,136,33,0,2
2023,0,267519,Financial Services,MA,90,35,0,5
2014,0,1184942,General Commercial,MI,198,22,0,1
2024,0,1356283,Manufacturing,VA,65,37,0,4
2021,1,5082013,Manufacturing,CA,244,27,1,2
2017,0,591099,General Commercial,CA,167,34,0,NA
2018,0,787577,General Commercial,NC,153,32,0,NA
2018,0,823767,Manufacturing,TX,108,42,0,4
2013,0,668969,Manufacturing,TX,26,35,0,NA
2019,0,901363,Manufacturing,NJ,122,32,0,NA
2015,0,2053167,General Commercial,FL,797,39,0,3
2023,0,3686203,Financial Services,IL,213,32,1,NA
2023,0,1199537,General Commercial,AZ,50,24,0,2
2015,0,3541968,Manufacturing,PA,695,35,1,5
2020,0,1452662,Manufacturing,CA,103,45,0,4
2023,0,1277690,General Commercial,CA,263,16,0,NA
2022,0,980269,Oil/Gas,TX,137,16,0,5
2021,0,1256085,General Commercial,NY,52,16,0,NA
2023,0,404095,General Commercial,MI,41,36,0,NA
2021,0,1804380,General Commercial,CA,351,17,0,NA
2020,0,1467304,Financial Services,TX,65,36,0,NA
2014,0,525842,Financial Services,TX,61,23,0,4
2022,0,1741850,General Commercial,FL,118,16,0,2
2015,0,3412214,Manufacturing,FL,492,16,1,NA
2013,0,1260403,General Commercial,FL,167,18,0,NA
2017,0,2416137,Manufacturing,CA,69,26,0,4
2018,1,4692202,Manufacturing,CA,940,28,1,NA
2013,0,485831,Manufacturing,OH,20,48,0,NA
2019,0,651164,Financial Services,NY,146,29,0,NA
2023,0,566405,Manufacturing,NY,213,16,0,2
2023,0,252866,Oil/Gas,IL,31,16,0,NA
2018,0,979781,Manufacturing,NC,73,20,0,2
2022,0,1730467,General Commercial,VA,151,30,0,NA
2016,1,617668,General Commercial,TX,110,21,0,NA
2014,0,640789,General Commercial,MA,29,29,0,5
2022,0,1185691,General Commercial,NY,156,24,0,4
2016,0,345247,General Commercial,FL,18,17,0,4
2017,1,997297,General Commercial,OH,87,19,0,NA
2020,0,1317053,Oil/Gas,VA,190,29,0,4
2018,0,355026,Manufacturing,OH,31,28,0,NA
2020,0,369703,Financial Services,CA,63,18,0,4
2023,0,2915919,General Commercial,MA,428,20,1,2
2019,0,1771800,Manufacturing,NY,121,38,0,NA
2014,0,316276,Manufacturing,IL,46,73,0,NA
2016,0,371496,General Commercial,TX,28,54,0,3
2019,0,815730,General Commercial,TX,53,79,0,3
2023,0,381647,Manufacturing,TX,99,58,0,4
2016,0,1172353,General Commercial,NJ,69,21,0,2
2019,0,996534,General Commercial,FL,163,31,0,NA
2023,0,943840,Manufacturing,NY,53,23,0,4
2024,0,570030,Manufacturing,NY,71,26,0,NA
2022,0,549893,Manufacturing,IL,65,37,0,4
2018,0,517751,General Commercial,PA,50,24,0,3
2017,1,629592,General Commercial,MI,51,26,0,4
2022,0,1174179,General Commercial,NJ,136,34,0,3
2020,0,220178,General Commercial,FL,6,25,0,NA
2016,0,903179,General Commercial,CA,31,21,0,NA
2014,0,7213361,General Commercial,CA,387,16,1,3
2017,1,621248,Manufacturing,GA,78,16,0,4
2015,0,908315,Manufacturing,NY,35,16,0,4
2023,0,693836,General Commercial,PA,50,17,0,NA
2015,0,2480862,General Commercial,TX,208,16,0,NA
2023,0,2552741,Manufacturing,WA,230,22,1,3
2021,0,3329013,General Commercial,MA,392,43,1,NA
2023,0,469289,Manufacturing,TX,85,33,0,NA
2017,0,287813,Oil/Gas,TX,153,24,0,3
2018,0,641731,General Commercial,MI,40,17,0,NA
2015,0,1050464,General Commercial,TX,68,39,0,3
2013,1,1677538,General Commercial,TX,647,32,0,4
2022,0,2427358,General Commercial,CA,312,16,0,NA
2023,0,1824658,General Commercial,CA,274,67,0,2
2021,0,1898092,Manufacturing,CA,272,21,0,5
2020,1,988028,Financial Services,GA,158,17,0,3
2021,0,1016894,General Commercial,FL,89,34,0,4
2024,0,591630,General Commercial,VA,32,16,0,5
2015,1,1939213,General Commercial,CA,237,41,0,NA
2022,0,637645,General Commercial,NJ,254,40,0,4
2020,0,839413,General Commercial,NC,242,16,0,4
2024,0,899162,General Commercial,IL,75,58,0,3
2018,1,1362381,Oil/Gas,CA,147,58,0,4
2016,0,329336,Manufacturing,TX,81,16,0,3
2020,0,1221919,Manufacturing,CA,170,20,0,NA
2022,0,3089215,General Commercial,NJ,446,32,1,NA
2020,1,2659377,Financial Services,CA,381,42,1,NA
2014,0,458092,General Commercial,PA,14,26,0,NA
2022,0,748921,General Commercial,PA,139,18,0,NA
2018,0,8102526,General Commercial,NY,295,40,1,NA
2018,0,431690,General Commercial,VA,72,19,0,5
2014,0,759252,Manufacturing,TX,56,92,0,5
2021,0,3110326,Financial Services,CA,224,17,1,5
2020,0,550278,General Commercial,MA,59,18,0,3
2018,0,3367358,Financial Services,FL,568,50,1,3
2016,1,2288425,General Commercial,CA,75,27,0,3
2023,0,1320168,General Commercial,CA,158,16,0,3
2022,0,1269896,Manufacturing,TX,322,28,0,1
2017,0,831198,General Commercial,FL,46,36,0,NA
2022,0,878134,Manufacturing,NJ,113,46,0,2
2015,0,966316,General Commercial,TX,229,16,0,NA
2021,0,866514,Manufacturing,NC,104,20,0,5
2015,0,983951,Oil/Gas,FL,128,29,0,3
2014,0,1868172,General Commercial,CA,77,89,0,3
2020,0,1616872,General Commercial,CA,129,16,0,NA
2021,0,422414,General Commercial,NC,9,19,0,NA
2018,0,500936,Financial Services,CA,42,35,0,NA
2014,0,972073,Manufacturing,AZ,346,44,0,4
2023,0,968666,General Commercial,PA,123,24,0,2
2023,0,1062251,Financial Services,TX,174,16,0,4
2022,0,1833141,Financial Services,CA,69,41,0,2
2018,0,1377705,General Commercial,GA,186,22,0,NA
2020,0,485401,Manufacturing,CA,114,17,0,NA
2018,0,408445,Manufacturing,VA,49,49,0,2
2019,0,2020628,General Commercial,NY,149,21,0,NA
2013,0,293315,Manufacturing,TX,18,29,0,4
2020,0,1798450,Manufacturing,MI,197,17,0,4
2014,0,565596,Financial Services,NY,24,16,0,NA
2022,0,1115430,General Commercial,FL,64,29,0,NA
2013,0,432782,General Commercial,AZ,42,22,0,NA
2016,0,1833495,General Commercial,GA,146,28,0,NA
2015,0,2352096,General Commercial,FL,113,22,0,4
2016,0,430774,General Commercial,NJ,18,17,0,3
2022,0,1083285,Manufacturing,CA,77,18,0,NA
2021,0,154914,Financial Services,NC,10,65,0,5
2024,0,660739,Financial Services,FL,182,16,0,2
2017,0,1421611,Manufacturing,PA,147,32,0,3
2022,0,2397244,General Commercial,WA,144,25,0,3
2016,0,1710055,General Commercial,TX,105,38,0,4
2018,0,669294,General Commercial,CA,140,30,0,3
2018,0,815314,Manufacturing,FL,34,16,0,NA
